Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,SMA_10,SMA_30,RSI,Volatility,MACD,Label
72.44160461425781,73.89927997263825,70.26724331981248,72.21809854454682,222195200,0.1575493668466109,0.1294873154018478,0.4674112921039174,0.1927334568774179,0.4810933773210475,0
146.149169921875,146.55197778080822,143.97796510457945,144.42988344158726,76378900,0.7052977189434853,0.7308121447597097,0.7190812276184648,0.2353021846081331,0.4423805720286291,1
135.59616088867188,141.49593132217902,135.47777557924968,140.22324408364128,67083400,0.6448124738994059,0.6998987734210377,0.393604936504275,0.432556048008566,0.2615324652012883,1
149.93199157714844,152.85634396088452,148.14379608075552,150.90019798375215,84442700,0.7901923938347153,0.8683611935613517,0.4872500645404243,0.2052093610354918,0.2860969206365136,0
167.20144653320312,167.30023295092772,164.8896212485773,165.6602246517888,70170500,0.8813021302023847,0.8057709565952705,0.8369859459455937,0.3811323161745854,0.8752258784486133,0
110.78563690185548,117.62859721522052,109.81922976524736,117.49193388065343,182274400,0.5232967608247752,0.4715714531991605,0.4938513079664362,0.8591156398157427,0.6757495615485004,0
123.8551254272461,126.24109415995947,123.32708279982056,126.10419504845385,192541500,0.5406312645939291,0.5053438288224005,0.7548359468660266,0.2698623173019679,0.6507678180535164,1
121.40637969970705,121.8920223479699,116.40838192059896,116.42058107803142,338054800,0.4591583681467085,0.3627826100429117,0.8719551439128419,0.4298258878859764,0.9091459990220928,1
142.86988830566406,143.7625834588374,141.8300521793579,141.93796054917624,56699500,0.7244145966240789,0.6933327248670492,0.5611308587366709,0.1619628324887698,0.6909545226098688,1
145.13641357421875,146.11313742780084,141.19007646669226,142.65021698133427,113990900,0.7969897320320407,0.890921359752863,0.4014350096206501,0.8299547702377877,0.1108083551276032,0
69.73760986328125,70.0291478764634,67.55109700677416,68.02484442466522,194994800,0.0332588680635609,0.0037528981805321,0.7722092802902032,0.399501167671615,0.4563565837419849,0
95.84092712402344,95.97978290888382,93.60464868715384,93.9505689422849,90318000,0.2965100292917516,0.2368941104507079,0.9188426085356106,0.1077816536229561,0.7049641615245307,0
146.69937133789062,148.19268383326175,146.3947993904891,146.70919043645577,60893400,0.7330947030820052,0.7276838911164539,0.8601816899889694,0.3044781503205034,0.53215437748252,0
72.29096984863281,73.12670420409486,71.53783619626512,71.68360519577489,147751200,0.0874819236665497,0.0251955875321931,0.6575688667813392,0.1735077184988798,0.5910972796751784,1
129.2833251953125,130.02887944591166,127.18402895808596,127.33118491370836,96721700,0.5716673714360481,0.5622027345002135,0.79828657509367,0.205973076661677,0.5193042658275191,0
113.46051788330078,114.16457469823683,112.61956196106514,112.99115164697128,76499200,0.4807451424582815,0.4644187345157163,0.4554889731825468,0.1935649933150094,0.4869392712913877,1
124.71194458007812,125.32015467873096,124.11354637386772,124.79042475105548,56877900,0.5498040399731274,0.5652440876800381,0.6446038633608062,0.0769591533378882,0.427026157149639,0
175.1277618408203,176.94040982813888,174.07365831750312,175.89616729266174,92633200,0.939879107924122,0.913588061114499,0.8498197608630221,0.7317422010274865,0.6875745070210757,0
59.468284606933594,61.426427556259334,58.94109255958123,60.102373420949,271857200,0.0397166367525382,0.0748369077909267,0.4742805121751213,0.500799388579015,0.1929883774702209,0
134.0781707763672,134.12713956998047,132.12932635870976,133.21636782694236,71297200,0.6419580758397505,0.6216101645489972,0.7055768882219781,0.375812934214761,0.6102056186782522,0
140.76376342773438,144.9526962468605,138.98544218022843,144.34016923521585,128138200,0.7771342350311019,0.8516942995699669,0.3547518507468802,0.420708072194794,0.2320902078053853,0
147.1708984375,147.3084407307945,143.84039612966788,144.63617761165648,124953200,0.7514484340234426,0.7298853586540276,0.7646274570924083,0.1152341806181022,0.5648942650311263,0
122.89713287353516,125.21224551256824,122.7009399316297,124.03507289257357,94625600,0.5555864314791825,0.5850139058443006,0.4222653781622005,0.0601347026574023,0.4068191377536309,0
142.86988830566406,144.6552786120108,140.89812442287007,141.29051033026613,100827100,0.6851368240655995,0.6222094120706406,0.9438302818111683,0.395175751924548,0.7749241843699618,1
94.78368377685548,95.46820900884369,94.13082818895457,94.2185218794836,89001600,0.3013376503166078,0.2443042091612495,0.8252739281393572,0.0406020204626987,0.6885286589954154,0
81.826416015625,85.51944605133392,81.72410670645458,85.0931399166828,201662400,0.1836575239662621,0.1288163138577726,0.7243694229690393,0.2786109824029282,0.6739129149262129,1
67.67987060546875,69.44122851178182,67.5875573844478,69.2590190731977,112004800,0.0744994742295674,0.0056597484581188,0.7035987513581156,0.1005940800134775,0.5393232929536583,1
151.5919647216797,151.91617486388267,150.40319420026873,151.0614335831693,57808700,0.766090896014314,0.7587434164106425,0.6434922803297176,0.2397627705757147,0.6223472431248556,1
143.4296112060547,145.98486058899564,142.52195557770006,144.92920830294685,88570300,0.7204381216750362,0.7850492511113246,0.5256216257729583,0.5222211204368391,0.2582803669258925,1
171.963134765625,172.17959030875696,166.77806518529516,167.41759838559184,115541600,0.885746004791381,0.97309929191518,0.5895844949818828,0.6156032331539788,0.3616498166325852,0
131.6103057861328,132.60921251142065,131.3360984408663,132.21747705876876,66015800,0.6173032273710761,0.5694299183328498,0.7158066961724815,0.0615143480052502,0.6486889929509343,0
119.53534698486328,123.10985302794076,119.31989620016851,122.22846685036691,112966300,0.5469370236857001,0.6128150736896366,0.2669458776955005,0.3381689005128389,0.2837343075726092,0
152.38772583007812,154.28384596142823,151.2775532197301,154.22490139645186,74420200,0.7766331167554372,0.7636869604100777,0.8207587441846439,0.3233874040796246,0.6480720041164426,0
